Repozitory_name,total_lines,number_of_days_since_last_change,stars_count,count_of_contributors,forks_count,count_of_open_issues,count_of_closed_issue,count_of_merged_pull_requests,count_of_comment_lines,cyclomatic_complexity,count_of_commit_comment_lines,syntax_errors
microsoft/Cognitive-Face-Android,30607,78,272,12,158,10,30,17,2689,5.453125,52,0
googleglass/mirror-quickstart-java,12053,54,267,6,217,3,19,13,72,4.0,50,0
peter-lawrey/HugeCollections-OLD,34527,51,274,10,51,6,30,13,817,10.123188405797102,48,0
smart-fun/SmartFonts,2775,167,270,3,37,0,6,3,65,1.625,31,0
Karumi/KataScreenshotAndroid,35760,59,264,2,97,2,8,4,154,1.4,41,0
delight-im/Android-DDP,8676,44,273,4,57,22,30,1,271,7.173913043478261,30,0
rajasharan/RearrangeableLayout,24596,21,275,1,57,2,2,0,165,7.75,19,0
microsoft/Cognitive-Face-Android,30607,78,272,12,158,10,30,17,2689,5.453125,52,0
googleglass/mirror-quickstart-java,12053,54,267,6,217,3,19,13,72,4.0,50,0
peter-lawrey/HugeCollections-OLD,34527,51,274,10,51,6,30,13,817,10.123188405797102,48,0
smart-fun/SmartFonts,2775,167,270,3,37,0,6,3,65,1.625,31,0
Karumi/KataScreenshotAndroid,35760,59,264,2,97,2,8,4,154,1.4,41,0
delight-im/Android-DDP,8676,44,273,4,57,22,30,1,271,7.173913043478261,30,0
walkingp/AndroidCnblogs,23194,13,268,2,199,8,2,0,459,8.439024390243903,19,0
vpaliy/android-material-motion,28361,65,271,1,27,0,2,0,165,5.166666666666667,30,0
cesarferreira/CatKit,7441,188,270,3,32,0,6,2,100,1.5,36,0
eyeem/decorator,7795,74,275,3,23,4,26,13,224,3.0,73,0
MasayukiSuda/AnimateHorizontalProgressBar,3500,324,272,3,57,2,4,2,101,3.6666666666666665,34,0
ArcBees/Jukito,8099,8,272,15,33,12,30,23,124,2.493333333333333,51,0
EddyVerbruggen/cordova-plugin-safariviewcontroller,13206,121,280,22,140,87,30,25,137,9.8,58,0
AlanCheen/PeriscopeLayout,4146,21,272,2,91,2,3,1,103,1.0,17,0
KyleBanks/IconEditText,360,106,265,1,47,2,1,0,26,6.0,8,0
classmethod/gradle-aws-plugin,15192,9,277,30,132,58,30,21,446,3.261904761904762,59,0
flavienlaurent/tickplusdrawable,2591,26,270,3,66,0,7,3,101,2.0,22,0
peholmst/vaadin4spring,3206,26,263,22,133,56,30,23,10,2.269230769230769,41,0
cwenao/springboot_cwenao,5931,100,265,1,158,0,1,0,231,1.6363636363636365,25,0
HubSpot/dropwizard-guice,1970,98,268,17,97,21,30,18,46,2.3076923076923075,48,0
wongcain/MVP-Simple-Demo,1846,112,262,1,78,0,3,0,60,1.2105263157894737,3,0
smartTop/AddressSelector,8801,195,276,1,59,12,1,0,160,5.0,27,0
githubwing/ExpandableViewpager,20380,110,267,1,39,1,0,0,180,1.6666666666666667,7,0
ihaolin/alipay,4925,6,259,1,178,2,18,2,70,1.6896551724137931,34,0
lynnchurch/PullToRefresh,49122,111,262,2,109,5,9,1,442,5.709677419354839,34,0
epfldata/squall,390464,12,270,9,96,3,30,24,9186,9.234986945169712,58,1
781015928/HeadToast,1760,235,264,1,6,0,0,0,89,3.7777777777777777,1,0
MoshDev/BackgroundViewPager,19954,64,261,1,46,2,0,0,126,5.0,16,0
Elder-Wu/Notes,13740,7,265,1,82,2,0,0,414,3.2521008403361344,30,0
kymjs/CodeCafe,28886,27,266,1,107,6,4,0,443,7.517857142857143,30,0
xiewenfeng/statusbartextcolorchange,4440,500,264,1,72,6,0,0,115,3.0,4,0
jhalterman/lyra,6698,4,264,10,76,17,30,16,83,4.779661016949152,54,0
ymcao/YaPlayer,509163,14,265,1,171,5,3,0,1506,11.622222222222222,20,0
Even201314/NumberMorphView4Android,4375,240,262,1,33,1,0,0,82,6.0,7,0
jingchenUSTC/TimePicker,4047,47,267,1,90,3,0,0,50,10.5,7,0
haseman/Android-AR-Kit,1143,44,265,0,97,2,0,0,238,5.777777777777778,7,0
ophilbert/ActivityTransition,2366,133,261,2,81,0,1,1,45,1.0,7,0
a-voyager/WeekToDo,55124,17,269,1,73,1,3,0,332,3.0727272727272728,30,0
Animosity/CraftIRC,9677,19,272,6,25,0,30,8,304,16.233333333333334,35,0
wangshaolei/AutoFillEmailEditText,1194,35,261,0,34,1,1,0,75,3.0,12,0
tajchert/BusWear,3302,189,257,3,23,8,12,5,149,4.7,38,0
7heaven/GestureLock,12347,303,263,4,71,2,9,4,98,7.571428571428571,36,0
urbanairship/datacube,109005,47,265,12,62,11,30,27,288,5.0606060606060606,50,0
JakeWharton/paraphrase,1979,7,284,2,16,4,5,1,33,2.2666666666666666,26,0
hencoder/PracticeDraw2,6995,93,264,1,344,6,3,0,135,1.0277777777777777,5,0
androidmalin/ILOVEYOU,70071,22,252,2,48,0,0,0,417,5.0,22,0
lrannn/SimpleRecorder,2007,66,257,1,21,0,1,0,105,3.142857142857143,27,0
YeDeming/THUTag,0,0,0,0,0,0,0,0,0,0,0,0
eccyan/SpinningTabStrip,22648,305,254,1,31,1,5,3,138,13.166666666666666,55,0
erchenger/SizeAdjustingTextView,5329,215,253,1,55,4,3,2,170,3.0,31,0
VictorAlbertos/SwipeCoordinator,6909,106,253,1,40,0,2,0,105,1.9,9,0
mediarain/RoboCoP,5036,4,246,3,24,5,5,2,237,5.5,19,0
sd6352051/RiseNumber,1792,133,246,1,82,3,2,0,99,3.2,7,0
shunfei/DCMonitor,38887,59,247,3,93,2,30,29,1051,4.888888888888889,45,0
3pillarlabs/socialauth,127292,18,248,21,144,35,30,10,1322,10.389830508474576,60,0
yll2wcf/YLListView,10462,226,256,1,60,0,1,0,129,5.25,13,0
xybCoder/gank,10132,377,253,1,52,0,10,0,137,2.7857142857142856,32,0
RobotAmiee/Android-NiceTab,12809,376,248,1,65,7,1,0,169,12.866666666666667,20,0
shanyao0/DownLoadManager,1632,23,251,1,78,2,1,0,70,1.8,4,0
ManuelPeinado/NumericPageIndicator,12023,133,251,1,50,2,1,0,134,8.222222222222221,25,0
abhioncbr/Kafka-Message-Server,10104,79,256,1,147,1,0,0,114,2.5454545454545454,23,0
erickok/RxCupboard,3286,377,249,4,13,1,11,3,144,1.7222222222222223,32,0
yanyiqun001/ganguo,34110,225,251,1,39,5,1,0,437,2.9797979797979797,10,0
diogobernardino/CircularCounter,1225,133,253,1,50,2,2,0,57,4.5,5,0
binglingziyu/OwlView,8389,9,250,1,32,1,0,0,100,3.0,20,0
tbouron/ShakeDetector,5386,133,254,1,53,1,6,1,98,14.5,26,0
ogaclejapan/Qiitanium,61379,315,250,1,53,3,5,2,316,1.8780487804878048,27,0
HotBitmapGG/LeisureRead,73416,7,244,2,82,0,4,2,422,3.776315789473684,30,0
ygorbarboza/AKParallax-Android,23332,133,246,3,99,6,5,2,187,4.25,35,0
CoXier/CheckBox,8558,126,255,1,40,0,2,0,105,2.7142857142857144,33,0
youzan/TitanRecyclerView,49640,22,249,5,24,2,8,3,176,6.0,30,0
xuyisheng/NaturalAnim,10062,191,257,1,39,1,0,0,90,1.6111111111111112,4,0
nicolasjafelle/SherlockNavigationDrawer,4727,10,250,3,102,2,13,3,193,6.166666666666667,34,0
HiddenStage/divide,27082,27,282,2,26,26,1,0,2968,3.651282051282051,33,0
